amount,Pengeluaran,year,month,day,category_0,category_1,category_2,account_Cash,account_Metro Card,account_Salary Bank,account_Savings Bank,type_0,type_1,type_2,Cluster
45.0,45000.0,2024,8,11,True,False,False,False,False,False,True,True,False,False,1
40.0,40000.0,2024,8,10,False,True,False,True,False,False,False,True,False,False,1
10.0,10000.0,2024,8,9,False,False,True,True,False,False,False,True,False,False,2
200.0,200000.0,2024,8,7,True,False,False,False,False,False,True,True,False,False,3
4.0,4000.0,2024,8,4,True,False,False,False,False,True,False,False,True,False,2
500.0,500000.0,2024,8,4,True,False,False,False,False,False,True,True,False,False,0
30.0,30000.0,2024,8,2,True,False,False,False,False,True,False,True,False,False,1
100.0,100000.0,2024,8,2,False,False,True,False,False,False,True,True,False,False,3
74.0,74000.0,2024,8,2,False,False,True,True,False,False,False,True,False,False,1
102.0,102000.0,2024,8,2,False,False,True,False,False,False,True,True,False,False,3
152.0,152000.0,2024,8,1,True,False,False,False,False,False,True,True,False,False,3
500.0,500000.0,2024,8,1,True,False,False,False,False,False,True,True,False,False,0
22.0,22000.0,2024,7,31,True,False,False,False,False,False,True,True,False,False,2
300.0,300000.0,2024,7,31,True,False,False,False,False,False,True,True,False,False,3
70.0,70000.0,2024,7,26,False,True,False,False,False,False,True,True,False,False,1
0.0,0.0,2024,7,20,False,False,True,False,False,False,True,False,True,False,2
30.0,30000.0,2024,7,20,False,True,False,True,False,False,False,True,False,False,1
50.0,50000.0,2024,7,20,True,False,False,True,False,False,False,True,False,False,1
3.0,3000.0,2024,7,15,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,7,15,True,False,False,False,False,False,True,True,False,False,1
171.0,171000.0,2024,7,14,True,False,False,True,False,False,False,True,False,False,3
90.0,90000.0,2024,7,14,True,False,False,True,False,False,False,True,False,False,1
41.0,41000.0,2024,7,12,False,False,True,False,False,True,False,False,True,False,1
300.0,300000.0,2024,7,12,True,False,False,False,False,False,True,True,False,False,3
50.0,50000.0,2024,7,12,False,False,True,True,False,False,False,True,False,False,1
50.0,50000.0,2024,7,12,False,False,True,False,False,False,True,True,False,False,1
50.0,50000.0,2024,7,10,True,False,False,True,False,False,False,True,False,False,1
30.0,30000.0,2024,7,10,False,True,False,True,False,False,False,True,False,False,1
30.0,30000.0,2024,7,7,False,True,False,False,False,True,False,True,False,False,1
199.0,199000.0,2024,7,3,True,False,False,False,False,False,True,True,False,False,3
200.0,200000.0,2024,7,3,True,False,False,False,False,False,True,True,False,False,3
120.0,120000.0,2024,7,2,False,True,False,True,False,False,False,True,False,False,3
500.0,500000.0,2024,7,1,True,False,False,False,False,False,True,True,False,False,0
259.0,259000.0,2024,7,1,True,False,False,False,False,False,True,True,False,False,3
13.0,13000.0,2024,7,1,True,False,False,False,False,True,False,True,False,False,2
42.0,42000.0,2024,7,1,True,False,False,True,False,False,False,True,False,False,1
520.0,520000.0,2024,6,30,False,True,False,False,False,False,True,True,False,False,0
60.0,60000.0,2024,6,30,False,True,False,False,False,True,False,True,False,False,1
35.0,35000.0,2024,6,30,True,False,False,False,False,False,True,True,False,False,1
71.0,71000.0,2024,6,30,False,False,True,False,False,False,True,False,True,False,1
20.0,20000.0,2024,6,29,False,True,False,True,False,False,False,True,False,False,2
180.0,180000.0,2024,6,29,False,False,True,True,False,False,False,True,False,False,3
30.0,30000.0,2024,6,29,False,True,False,True,False,False,False,True,False,False,1
20.0,20000.0,2024,6,29,False,True,False,True,False,False,False,True,False,False,2
266.9,266900.0,2024,6,29,True,False,False,False,False,False,True,True,False,False,3
