amount,Pengeluaran,year_month,year,month,day,category_0,category_1,category_2,account_Cash,account_Metro Card,account_Salary Bank,account_Savings Bank,type_0,type_1,type_2
45.0,45000.0,2024-08,2024,8,11,True,False,False,False,False,False,True,True,False,False
40.0,40000.0,2024-08,2024,8,10,False,True,False,True,False,False,False,True,False,False
10.0,10000.0,2024-08,2024,8,9,False,False,True,True,False,False,False,True,False,False
200.0,200000.0,2024-08,2024,8,7,True,False,False,False,False,False,True,True,False,False
4.0,4000.0,2024-08,2024,8,4,True,False,False,False,False,True,False,False,True,False
500.0,500000.0,2024-08,2024,8,4,True,False,False,False,False,False,True,True,False,False
30.0,30000.0,2024-08,2024,8,2,True,False,False,False,False,True,False,True,False,False
100.0,100000.0,2024-08,2024,8,2,False,False,True,False,False,False,True,True,False,False
74.0,74000.0,2024-08,2024,8,2,False,False,True,True,False,False,False,True,False,False
102.0,102000.0,2024-08,2024,8,2,False,False,True,False,False,False,True,True,False,False
152.0,152000.0,2024-08,2024,8,1,True,False,False,False,False,False,True,True,False,False
500.0,500000.0,2024-08,2024,8,1,True,False,False,False,False,False,True,True,False,False
22.0,22000.0,2024-07,2024,7,31,True,False,False,False,False,False,True,True,False,False
300.0,300000.0,2024-07,2024,7,31,True,False,False,False,False,False,True,True,False,False
70.0,70000.0,2024-07,2024,7,26,False,True,False,False,False,False,True,True,False,False
0.0,0.0,2024-07,2024,7,20,False,False,True,False,False,False,True,False,True,False
30.0,30000.0,2024-07,2024,7,20,False,True,False,True,False,False,False,True,False,False
50.0,50000.0,2024-07,2024,7,20,True,False,False,True,False,False,False,True,False,False
3.0,3000.0,2024-07,2024,7,15,False,False,True,True,False,False,False,True,False,False
35.0,35000.0,2024-07,2024,7,15,True,False,False,False,False,False,True,True,False,False
171.0,171000.0,2024-07,2024,7,14,True,False,False,True,False,False,False,True,False,False
90.0,90000.0,2024-07,2024,7,14,True,False,False,True,False,False,False,True,False,False
41.0,41000.0,2024-07,2024,7,12,False,False,True,False,False,True,False,False,True,False
300.0,300000.0,2024-07,2024,7,12,True,False,False,False,False,False,True,True,False,False
50.0,50000.0,2024-07,2024,7,12,False,False,True,True,False,False,False,True,False,False
50.0,50000.0,2024-07,2024,7,12,False,False,True,False,False,False,True,True,False,False
50.0,50000.0,2024-07,2024,7,10,True,False,False,True,False,False,False,True,False,False
30.0,30000.0,2024-07,2024,7,10,False,True,False,True,False,False,False,True,False,False
30.0,30000.0,2024-07,2024,7,7,False,True,False,False,False,True,False,True,False,False
199.0,199000.0,2024-07,2024,7,3,True,False,False,False,False,False,True,True,False,False
200.0,200000.0,2024-07,2024,7,3,True,False,False,False,False,False,True,True,False,False
120.0,120000.0,2024-07,2024,7,2,False,True,False,True,False,False,False,True,False,False
500.0,500000.0,2024-07,2024,7,1,True,False,False,False,False,False,True,True,False,False
